"","Nimi","Osoite","Postinro","Paikkakunta","Kaupunginosa","Aukioloaika","NA"
"11797","Ruoholahden lastenkirjasto","Santakatu 6","00099","Helsinki","Ruoholahti","","Kirjastot"
"11798","Ruohonjuuri","Salomonkatu 5","00100","Helsinki","Kamppi","","Luontaistuotekaupat"
"11799","Ruohonjuuri","Itäkatu 5","00930","Helsinki","Itäkeskus","","Luontaistuotekaupat"
"11800","Ruohonjuuri","Sörnäisten Rantatie 5","00530","Helsinki","Siltasaari","","Luontaistuotekaupat"
"11801","Ruohonjuuri","Keskuskatu 6","00100","Helsinki","Kluuvi","","Luontaistuotekaupat"
"11810","Rymy-Eetu","Erottajankatu 15-17","00100","Helsinki","Kaartinkaupunki","","Ravintolat"
"11820","S-market","Kalevalantie 3","02130","Espoo","Pohjois-Tapiola","","Ruokakaupat"
"11821","S-market","Malminkorpi 1","02280","Espoo","Malminmäki","","Ruokakaupat"
"11822","S-market","Lähderanta 1","02720","Espoo","Lähderanta","","Ruokakaupat"
"11823","S-market","Juvankartanontie 33","02920","Espoo","Niipperi","","Ruokakaupat"
"11824","S-market","Siltakatu 13","02760","Espoo","Suvela","","Ruokakaupat"
"11825","S-market","Ukkohauentie 11-13","02170","Espoo","Haukilahti","","Ruokakaupat"
"11826","S-market","Kivenlahdentie 9","02320","Espoo","Espoonlahti","","Ruokakaupat"
"11827","S-market","Kuunkatu 3","02210","Espoo","Kuitinmäki","","Ruokakaupat"
"11857","S-market","Hämeentie 111","00550","Helsinki","Toukola","","Ruokakaupat"
"11858","S-market","Hietalahdenranta 7","00120","Helsinki","Punavuori","","Ruokakaupat"
"11859","S-market","Vuotie 45","00980","Helsinki","Keski-Vuosaari","","Ruokakaupat"
"11860","S-market","Siltasaarenkatu 6-10","00530","Helsinki","Siltasaari","","Ruokakaupat"
"11861","S-market","Hitsaajankatu 16","00810","Helsinki","Herttoniemenranta","","Ruokakaupat"
"11862","S-market","Itäkatu 7 E 45","00930","Helsinki","Itäkeskus","","Ruokakaupat"
"11863","S-market","Kasarmikatu 19","00130","Helsinki","Kaartinkaupunki","","Ruokakaupat"
"11864","S-market","Hankasuontie 1","00390","Helsinki","Konala","","Ruokakaupat"
"11865","S-market","Ostostie 4","00940","Helsinki","Kontula","","Ruokakaupat"
"11866","S-market","Kirkonkyläntie 34","00780","Helsinki","Ylä-Malmi","","Ruokakaupat"
"11867","S-market","Meri-Rastilankuja 2","00980","Helsinki","Meri-Rastila","","Ruokakaupat"
"11868","S-market","Raumantie 1","00350","Helsinki","Munkkivuori","","Ruokakaupat"
"11869","S-market","Pakilantie 61","00660","Helsinki","Länsi-Pakila","","Ruokakaupat"
"11870","S-market","Meripihkatie 3","00710","Helsinki","Pihlajamäki","","Ruokakaupat"
"11871","S-market","Takomotie 33","00380","Helsinki","Pitäjänmäki","","Ruokakaupat"
"11872","S-market","Itämerentori 2","00180","Helsinki","Ruoholahti","","Ruokakaupat"
"11873","S-market","Mannerheimintie 9","00100","Helsinki","Kluuvi","","Ruokakaupat"
"11874","S-market","Torpparinmäentie 1 A","00690","Helsinki","Torpparinmäki","","Ruokakaupat"
"11875","S-market","Helsinginkatu 1","00500","Helsinki","Harju","","Ruokakaupat"
"11876","S-market","Aleksis Kiven katu 11","00510","Helsinki","Vallila","","Ruokakaupat"
"11877","S-market","Siltasaarenkatu 18-20","00530","Helsinki","Siltasaari","","Ruokakaupat"
"11878","S-market","Mustalahdentie 10","00960","Helsinki","Keski-Vuosaari","","Ruokakaupat"
"11879","S-market","Kiviparintie 2","00920","Helsinki","Myllypuro","","Ruokakaupat"
"11880","S-market","Kaupintie 14","00440","Helsinki","Lassila","","Ruokakaupat"
"11881","S-market","Jakomäentie 2 A","00770","Helsinki","Jakomäki","","Ruokakaupat"
"11882","S-market","Itälahdenkatu 27","00210","Helsinki","Lauttasaari","","Ruokakaupat"
"11883","S-market","Metsäpurontie 4","00630","Helsinki","Maunula","","Ruokakaupat"
"11949","S-market","Asematie 1","02700","Kauniainen","Kauniainen","","Ruokakaupat"
"11950","S-market","Kauniaistentie 7","02700","Kauniainen","Kauniainen","","Ruokakaupat"
"12221","S-Market","Ukonkivenpolku 11","01610","Vantaa","Kaivoksela","","Ruokakaupat"
"12222","S-market","Kivivuorentie 4","01620","Vantaa","Martinlaakso","","Ruokakaupat"
"12223","S-market","Kannuskuja 2","01200","Vantaa","Hakunila","","Ruokakaupat"
"12224","S-market","Niinikuja 2","01360","Vantaa","Koivukylä","","Ruokakaupat"
"12225","S-market","Maakotkantie 19","01450","Vantaa","Korso","","Ruokakaupat"
"12226","S-market","Metsolantie 2","01450","Vantaa","Metsola","","Ruokakaupat"
"12227","S-market","Liesitori 1","01600","Vantaa","Myyrmäki","","Ruokakaupat"
"12262","S-market","Kalevalantie 3","02130","Espoo","Pohjois-Tapiola","","Ruokakaupat"
"12263","S-market","Malminkorpi 1","02280","Espoo","Malminmäki","","Ruokakaupat"
"12264","S-market","Lähderanta 1","02720","Espoo","Lähderanta","","Ruokakaupat"
"12265","S-market","Juvankartanontie 33","02920","Espoo","Niipperi","","Ruokakaupat"
"12266","S-market","Siltakatu 13","02760","Espoo","Suvela","","Ruokakaupat"
"12267","S-market","Ukkohauentie 11-13","02170","Espoo","Haukilahti","","Ruokakaupat"
"12268","S-market","Kivenlahdentie 9","02320","Espoo","Espoonlahti","","Ruokakaupat"
"12269","S-market","Kuunkatu 3","02210","Espoo","Kuitinmäki","","Ruokakaupat"
"12299","S-market","Hämeentie 111","00550","Helsinki","Toukola","","Ruokakaupat"
"12300","S-market","Hietalahdenranta 7","00120","Helsinki","Punavuori","","Ruokakaupat"
"12301","S-market","Vuotie 45","00980","Helsinki","Keski-Vuosaari","","Ruokakaupat"
"12302","S-market","Siltasaarenkatu 6-10","00530","Helsinki","Siltasaari","","Ruokakaupat"
"12303","S-market","Hitsaajankatu 16","00810","Helsinki","Herttoniemenranta","","Ruokakaupat"
"12304","S-market","Itäkatu 7 E 45","00930","Helsinki","Itäkeskus","","Ruokakaupat"
"12305","S-market","Kasarmikatu 19","00130","Helsinki","Kaartinkaupunki","","Ruokakaupat"
"12306","S-market","Hankasuontie 1","00390","Helsinki","Konala","","Ruokakaupat"
"12307","S-market","Ostostie 4","00940","Helsinki","Kontula","","Ruokakaupat"
"12308","S-market","Kirkonkyläntie 34","00780","Helsinki","Ylä-Malmi","","Ruokakaupat"
"12309","S-market","Meri-Rastilankuja 2","00980","Helsinki","Meri-Rastila","","Ruokakaupat"
"12310","S-market","Raumantie 1","00350","Helsinki","Munkkivuori","","Ruokakaupat"
"12311","S-market","Pakilantie 61","00660","Helsinki","Länsi-Pakila","","Ruokakaupat"
"12312","S-market","Meripihkatie 3","00710","Helsinki","Pihlajamäki","","Ruokakaupat"
"12313","S-market","Takomotie 33","00380","Helsinki","Pitäjänmäki","","Ruokakaupat"
"12314","S-market","Itämerentori 2","00180","Helsinki","Ruoholahti","","Ruokakaupat"
"12315","S-market","Mannerheimintie 9","00100","Helsinki","Kluuvi","","Ruokakaupat"
"12316","S-market","Torpparinmäentie 1 A","00690","Helsinki","Torpparinmäki","","Ruokakaupat"
"12317","S-market","Helsinginkatu 1","00500","Helsinki","Harju","","Ruokakaupat"
"12318","S-market","Aleksis Kiven katu 11","00510","Helsinki","Vallila","","Ruokakaupat"
"12319","S-market","Siltasaarenkatu 18-20","00530","Helsinki","Siltasaari","","Ruokakaupat"
"12320","S-market","Mustalahdentie 10","00960","Helsinki","Keski-Vuosaari","","Ruokakaupat"
"12321","S-market","Kiviparintie 2","00920","Helsinki","Myllypuro","","Ruokakaupat"
"12322","S-market","Kaupintie 14","00440","Helsinki","Lassila","","Ruokakaupat"
"12323","S-market","Jakomäentie 2 A","00770","Helsinki","Jakomäki","","Ruokakaupat"
"12324","S-market","Itälahdenkatu 27","00210","Helsinki","Lauttasaari","","Ruokakaupat"
"12325","S-market","Metsäpurontie 4","00630","Helsinki","Maunula","","Ruokakaupat"
"12391","S-market","Asematie 1","02700","Kauniainen","Kauniainen","","Ruokakaupat"
"12392","S-market","Kauniaistentie 7","02700","Kauniainen","Kauniainen","","Ruokakaupat"
"12663","S-Market","Ukonkivenpolku 11","01610","Vantaa","Kaivoksela","","Ruokakaupat"
"12664","S-market","Kivivuorentie 4","01620","Vantaa","Martinlaakso","","Ruokakaupat"
"12665","S-market","Kannuskuja 2","01200","Vantaa","Hakunila","","Ruokakaupat"
"12666","S-market","Niinikuja 2","01360","Vantaa","Koivukylä","","Ruokakaupat"
"12667","S-market","Maakotkantie 19","01450","Vantaa","Korso","","Ruokakaupat"
"12668","S-market","Metsolantie 2","01450","Vantaa","Metsola","","Ruokakaupat"
"12669","S-market","Liesitori 1","01600","Vantaa","Myyrmäki","","Ruokakaupat"
"12721","Saiturinpörssi","Porthaninkatu 9","00530","Helsinki","Linjat","","Sekatavarakaupat"
"12722","Saiturinpörssi","Keinulaudankuja 4","00940","Helsinki","Kontula","","Sekatavarakaupat"
"12723","Saiturinpörssi","Latokartanontie 5","00700","Helsinki","Ala-Malmi","","Sekatavarakaupat"
"12724","Saiturinpörssi","Kauppakartanonkatu 3","00930","Helsinki","Itäkeskus","","Sekatavarakaupat"
"12726","Saiturinpörssi","Niinikuja 2","01360","Vantaa","Koivukylä","","Sekatavarakaupat"
"13009","Salon Choice","Urho Kekkosen katu 1","00100","Helsinki","Kamppi","","Parturit ja kampaamot"
"13010","Salon Choice","Itämerenkatu 16","00180","Helsinki","Ruoholahti","","Parturit ja kampaamot"
"13011","Salon Choice","Melkonkatu 14 B","00210","Helsinki","Lauttasaari","","Parturit ja kampaamot"
"13029","Saunalahti","Mannerheimintie 20 A","00100","Helsinki","Kamppi","","Matkapuhelimet"
"13030","Savanni Fashion","Mannerheimintie 20 A","00100","Helsinki","Kamppi","","Sekatavarakaupat"
"13040","Scanburger","Urho Kekkosen katu 1","00100","Helsinki","Kamppi","","Pikaruokalat"
"13042","Scandic","Nihtisillantie 1","02630","Espoo","Nuijala","","Hotellit"
"13044","Scandic","Mannerheimintie 46","00260","Helsinki","Taka-Töölö","","Hotellit"
"13045","Scandic","Katajanokanlaituri 7","00160","Helsinki","Katajanokka","","Hotellit"
"13046","Scandic","Mannerheimintie 10","00100","Helsinki","Kluuvi","","Hotellit"
"13047","Scandic","Paasivuorenkatu 5 B","00530","Helsinki","Siltasaari","","Hotellit"
"13048","Scandic","Simonkatu 9","00100","Helsinki","Kamppi","","Hotellit"
"13066","Scandinavian Outdoor","Yrjönkatu 29","00100","Helsinki","Kamppi","","Urheilukaupat"
"13073","Scandinavian Outdoor","Nilsaksenpolku 2","01510","Vantaa","Pakkala","","Urheilukaupat"
"13074","Scoop In","Urho Kekkosen katu 1","00100","Helsinki","Kamppi","","Jäätelöbaarit"
"13075","Seger's Indian Deli","Mannerheimintie 20 A","00100","Helsinki","Kamppi","","Ravintolat"
"13082","SEKSIPISTE","Vaasanpolku 3","00500","Helsinki","Harju","","Erotiikkamyymälät"
"13085","Sellon Apteekki","Leppävaarankatu 3-9","02600","Espoo","Etelä-Leppävaara","","Apteekit"
"13086","Sellon Pyörä","Alberganesplanadi 2","02600","Espoo","Etelä-Leppävaara","","Urheilukaupat"
"13090","Seppälä","Leppävaarankatu 3-9","02600","Espoo","Etelä-Leppävaara","","Vaatekaupat"
"13091","Seppälä","Valakuja 10","02770","Espoo","Suvela","","Vaatekaupat"
"13092","Seppälä","Espoonlahdenkatu 4","02320","Espoo","Espoonlahti","","Vaatekaupat"
"13093","Seppälä","Länsituulentie 3","02100","Espoo","Tapiola","","Vaatekaupat"
"13094","Seppälä","Piispansilta 11","02230","Espoo","Matinkylä","","Vaatekaupat"
"13101","Seppälä","Urho Kekkosen katu 1","00100","Helsinki","Kamppi","","Vaatekaupat"
"13102","Seppälä","Keskuskatu 1 B","00100","Helsinki","Kluuvi","","Vaatekaupat"
"13103","Seppälä","Itäkatu 7 E 41","00930","Helsinki","Itäkeskus","","Vaatekaupat"
"13104","Seppälä","Mannerheimintie 20","00100","Helsinki","Kluuvi","","Vaatekaupat"
"13105","Seppälä","Malminkaari 13-19","00700","Helsinki","Ala-Malmi","","Vaatekaupat"
"13106","Seppälä","Vuotie 45","00980","Helsinki","Keski-Vuosaari","","Vaatekaupat"
"13107","Seppälä","Hämeentie 109-111","00550","Helsinki","Toukola","","Vaatekaupat"
"13108","Seppälä","Siltasaarenkatu 14","00530","Helsinki","Siltasaari","","Vaatekaupat"
"13109","Seppälä","Kantelettarentie 1","00420","Helsinki","Kannelmäki","","Vaatekaupat"
"13110","Seppälä","Kiviparintie 2","00920","Helsinki","Myllypuro","","Vaatekaupat"
"13211","Seppälä","Vantaanportinkatu 3","01510","Vantaa","Pakkala","","Vaatekaupat"
"13212","Seppälä","Asematie 4","01300","Vantaa","Tikkurila","","Vaatekaupat"
"13213","Seppälä","Iskoskuja 3","01600","Vantaa","Myyrmäki","","Vaatekaupat"
"13214","Seppälä","Ojalehdonkuja 1","01400","Vantaa","Asola","","Vaatekaupat"
"13220","Seven Art","Leppävaarankatu 3-9","02600","Espoo","Etelä-Leppävaara","","Sisustusliikkeet"
"13221","Seven Art","Mannerheimintie 20 A","00100","Helsinki","Kamppi","","Sisustusliikkeet"
"13222","Seven Art","Yrjönkatu 27-29","00100","Helsinki","Kamppi","","Sisustusliikkeet"
"13225","Seven Art","Vantaanportinkatu 3","01510","Vantaa","Pakkala","","Sisustusliikkeet"
"13226","Seventh Forum Parturi-kampaamo","Mannerheimintie 20 A","00100","Helsinki","Kamppi","","Parturit ja kampaamot"
"13227","Sevilla","Maistraatinportti 3","00240","Helsinki","Länsi-Pasila","","Ravintolat"
"13228","Sevilla","Eteläinen Rautatiekatu 4","00100","Helsinki","Kamppi","","Ravintolat"
"13234","Sevilla","Hertaksentie 2","01300","Vantaa","Tikkurila","","Ravintolat"
"13239","Shell Ruskeasanta","Tuusulantie 10","01390","Vantaa","Ruskeasanta","","Huoltoasemat"
"13240","Shell Vantaa Rajtorppa","Torpantie 4","01650","Vantaa","Vapaala","","Huoltoasemat"
"13248","Silkki Center","Mannerheimintie 20 A","00100","Helsinki","Kamppi","","Vaatekaupat"
"13250","Silmäasema","Komeetankatu 2","02210","Espoo","Kuitinmäki","","Optikot"
"13251","Silmäasema","Siltakatu 11","02770","Espoo","Suvela","","Optikot"
"13252","Silmäasema","Viaporintori","02600","Espoo","Etelä-Leppävaara","","Optikot"
"13253","Silmäasema","Tapiontori 3 B","02100","Espoo","Tapiola","","Optikot"
"13254","Silmäasema","Leppävaarankatu 5 B","02600","Espoo","Etelä-Leppävaara","","Optikot"
"13261","Silmäasema","Siltasaarenkatu 18-20","00530","Helsinki","Siltasaari","","Optikot"
"13262","Silmäasema","Kaivokatu 10","00100","Helsinki","Kluuvi","","Optikot"
"13263","Silmäasema","Simonkatu 9","00100","Helsinki","Kamppi","","Optikot"
"13264","Silmäasema","Bulevardi 2-4 A","00120","Helsinki","Kamppi","","Optikot"
"13265","Silmäasema","Kantelettarentie 1","00420","Helsinki","Kannelmäki","","Optikot"
"13266","Silmäasema","Viikintori 3","00790","Helsinki","Viikin tiedepuisto","","Optikot"
"13267","Silmäasema","Hämeentie 109-111","00550","Helsinki","Arabianranta","","Optikot"
"13268","Silmäasema","Keskuskatu 6 E 6","00100","Helsinki","Kluuvi","","Optikot"
"13269","Silmäasema","Vuotie 45","00980","Helsinki","Keski-Vuosaari","","Optikot"
"13350","Silmäasema","Tikkuraitti 16","01300","Vantaa","Tikkurila","","Optikot"
"13351","Silmäasema","Jönsaksentie 6 A","01600","Vantaa","Myyrmäki","","Optikot"
"13355","Silmälasikeskus","Mannerheimintie 20 A","00100","Helsinki","Kamppi","","Optikot"
"13356","Siltamäen apteekki","Jousimiehentie 3","00740","Helsinki","Siltamäki","","Apteekit"
"13357","SiluettiSpa","Pohjoisesplanadi 35","00100","Helsinki","Kaartinkaupunki","",""
"13358","Simonkylän apteekki","Leinikkitie 20","01350","Vantaa","Simonkylä","","Apteekit"
"13361","Sinelli","Siltakatu 11","02770","Espoo","Suvela","","Askartelukaupat"
"13362","Sinelli","Simonkatu 10","00100","Helsinki","Kamppi","","Askartelukaupat"
"13363","Sinelli","Yrjönkatu 38","00100","Helsinki","Kamppi","","Askartelukaupat"
"13364","Sinelli","Itäkatu 1-7","00930","Helsinki","Itäkeskus","","Askartelukaupat"
"13369","Sinelli","Martinkyläntie 63","01720","Vantaa","Varisto","","Askartelukaupat"
"13370","Sinelli","Vantaanportinkatu 7","01510","Vantaa","Pakkala","","Askartelukaupat"
"13371","Singapore Hot Wok","Urho Kekkosen katu 1","00100","Helsinki","Kamppi","","Ravintolat"
"13375","Sinooperi","Iskoskuja 3 A 5","01600","Vantaa","Myyrmäki","","Askartelukaupat"
"13381","Sinun Kaupat","Mannerheimintie 20 A","00100","Helsinki","Kluuvi","","Luontaistuotekaupat"
"13386","Sirus","Urho Kekkosen katu 1","00100","Helsinki","Kamppi","","Vaatekaupat"
"13389","Sisustamo Dete","Martinsillantie 10","02270","Espoo","Eestinmalmi","","Sisustusliikkeet"
"13407","Siwa","Joosepinkuja 1","02230","Espoo","Matinlahti","","Ruokakaupat"
"13408","Siwa","Leenankuja 4","02230","Espoo","Matinmetsä","","Ruokakaupat"
"13409","Siwa","Lintuvaarantie 33","02650","Espoo","Pohjois-Leppävaara","","Ruokakaupat"
"13410","Siwa","Louhentie 14","02130","Espoo","Pohjois-Tapiola","","Ruokakaupat"
"13411","Siwa","Suurpellon Puistokatu 19","02200","Espoo","Suurpelto","","Ruokakaupat"
"13440","Siwa","Aurinkolahden Puistotie 2","00990","Helsinki","Aurinkolahti","","Ruokakaupat"
"13441","Siwa","Eskolantie 12-14","00720","Helsinki","Pukinmäki","","Ruokakaupat"
"13442","Siwa","Gunillantie 8","00870","Helsinki","Yliskylä","","Ruokakaupat"
"13443","Siwa","Hämeentie 155","00560","Helsinki","Vanhakaupunki","","Ruokakaupat"
"13444","Siwa","Hämeentie 42","00500","Helsinki","Torkkelinmäki","","Ruokakaupat"
"13445","Siwa","Kauppalantie 23","00320","Helsinki","Etelä-Haaga","","Ruokakaupat"
"13446","Siwa","Kurjenkellonkuja 2","00940","Helsinki","Kurkimäki","","Ruokakaupat"
"13447","Siwa","Mannerheimintie 70","00250","Helsinki","Taka-Töölö","","Ruokakaupat"
"13448","Siwa","Mechelininkatu 19","00100","Helsinki","Etu-Töölö","","Ruokakaupat"
"13449","Siwa","Paloheinäntie 22","00670","Helsinki","Paloheinä","","Ruokakaupat"
"13450","Siwa","Pajamäentie 14","00360","Helsinki","Pajamäki","","Ruokakaupat"
"13451","Siwa","Pietarinkatu 12","00140","Helsinki","Ullanlinna","","Ruokakaupat"
"13452","Siwa","Pihkatie 6","00410","Helsinki","Malminkartano","","Ruokakaupat"
"13453","Siwa","Porvoonkatu 19","00510","Helsinki","Alppila","","Ruokakaupat"
"13454","Siwa","Rahakamarinkatu 1","00240","Helsinki","Länsi-Pasila","","Ruokakaupat"
"13455","Siwa","Rekipellontie 2","00940","Helsinki","Vesala","","Ruokakaupat"
"13456","Siwa","Runeberginkatu 32","00100","Helsinki","Etu-Töölö","","Ruokakaupat"
"13457","Siwa","Savelantie 11","00720","Helsinki","Pukinmäki","","Ruokakaupat"
"13458","Siwa","Siilitie 11","00800","Helsinki","Länsi-Herttoniemi","","Ruokakaupat"
"13459","Siwa","Siilitie 6","00800","Helsinki","Länsi-Herttoniemi","","Ruokakaupat"
"13460","Siwa","Tunnelitie 10","00320","Helsinki","Etelä-Haaga","","Ruokakaupat"
"13461","Siwa","Vihdintie 7","00320","Helsinki","Etelä-Haaga","","Ruokakaupat"
"13462","Siwa","Wallininkuja 7","00530","Helsinki","Linjat","","Ruokakaupat"
"13463","Siwa","Yhdyskunnantie 22","00680","Helsinki","Itä-Pakila","","Ruokakaupat"
"13464","Siwa","Eerikinkatu 39","00180","Helsinki","Kamppi","","Ruokakaupat"
"13465","Siwa","Franzeninkatu 22","00530","Helsinki","Torkkelinmäki","","Ruokakaupat"
"13466","Siwa","Isokaari 9","00200","Helsinki","Lauttasaari","","Ruokakaupat"
"13467","Siwa","Kivalterintie 21","00620","Helsinki","Patola","","Ruokakaupat"
"13468","Siwa","Liisankatu 21","00170","Helsinki","Kruununhaka","","Ruokakaupat"
"13469","Siwa","Mannerheimintie 152","00270","Helsinki","Meilahti","","Ruokakaupat"
"13470","Siwa","Pihlajatie 12-14","00270","Helsinki","Meilahti","","Ruokakaupat"
"13471","Siwa","Untuvaisentie 2","00820","Helsinki","Roihuvuori","","Ruokakaupat"
"13472","Siwa","Kraputie 2","00890","Helsinki","Östersundom","","Ruokakaupat"
"13473","Siwa","Myllypurontie 22","00920","Helsinki","Myllypuro","","Ruokakaupat"
"13474","Siwa","Von Daehnin katu 1","00790","Helsinki","Latokartano","","Ruokakaupat"
"13475","Siwa","Tehtaankatu 1 A","00140","Helsinki","Ullanlinna","","Ruokakaupat"
"13476","Siwa","Lönnrotinkatu 12","00120","Helsinki","Kamppi","","Ruokakaupat"
"13477","Siwa","Suomenlinna C 6","00190","Helsinki","Suomenlinna","","Ruokakaupat"
"13478","Siwa","Junonkatu 2 D","00540","Helsinki","Sörnäinen","","Ruokakaupat"
"13870","Siwa","Suunnistajankuja 2","01280","Vantaa","Länsimäki","","Ruokakaupat"
"13871","Siwa","Heporinne 3","01200","Vantaa","Hakunila","","Ruokakaupat"
"13872","Siwa","Kannistontie 1","01700","Vantaa","Kivistö","","Ruokakaupat"
"13873","Siwa","Mantelikuja 1","01710","Vantaa","Hämeenkylä","","Ruokakaupat"
"13874","Siwa","Patotie 2","01600","Vantaa","Myyrmäki","","Ruokakaupat"
"13875","Siwa","Simonkalliontie 2","01300","Vantaa","Simonkylä","","Ruokakaupat"
"13876","Siwa","Uusiniityntie 7","01350","Vantaa","Simonkylä","","Ruokakaupat"
"13877","Siwa","Venuksentie 2","01480","Vantaa","Mikkola","","Ruokakaupat"
"13878","Siwa","Riskiläkuja 2 A","01450","Vantaa","Vierumäki","","Ruokakaupat"
"13879","Siwa","Kulomäki","01450","Vantaa","Korso","","Ruokakaupat"
"13902","Skuutio","Urho Kekkosen katu 1","00100","Helsinki","Kamppi","","Kenkäkaupat"
"13908","Sokerileipuri Suominen - Kahvila ja Kakkupuoti","Helenankatu 2","00200","Helsinki","Kruununhaka","","Leipomot"
"13910","Sokos","Mannerheimintie 9","00100","Helsinki","Kluuvi","","Sekatavarakaupat"
"13911","Sokos","Kantelettarentie 1","00420","Helsinki","Kannelmäki","","Sekatavarakaupat"
"13929","Sokos Hotel","Tapionaukio 3","02100","Espoo","Tapiola","","Hotellit"
"13931","Sokos Hotel","Albertinkatu 30","00120","Helsinki","Kamppi","","Hotellit"
"13932","Sokos Hotel","Albertinkatu 34","00100","Helsinki","Kamppi","","Hotellit"
"13933","Sokos Hotel","Kluuvikatu 8","00100","Helsinki","Kluuvi","","Hotellit"
"13934","Sokos Hotel","Maistraatinportti 3","00240","Helsinki","Länsi-Pasila","","Hotellit"
"13935","Sokos Hotel","Eteläinen Rautatiekatu 4","00100","Helsinki","Kamppi","","Hotellit"
"13936","Sokos Hotel","Yrjönkatu 26","00100","Helsinki","Kamppi","","Hotellit"
"13937","Sokos Hotel","Asema-Aukio 2","00100","Helsinki","Kluuvi","","Hotellit"
"13968","Sokos Hotel","Tasetie 8","01510","Vantaa","Pakkala","","Hotellit"
"13969","Sokos Hotel","Hertaksentie 2","01300","Vantaa","Tikkurila","","Hotellit"
"13972","Sol Pesulapalvelut","Espoonlahdenkatu 4","02320","Espoo","Espoonlahti","","Pesulat"
"13973","Sol Pesulapalvelut","Piispansilta 11","02230","Espoo","Matinkylä","","Pesulat"
"13974","Sol Pesulapalvelut","Toppelundinportti 3","02170","Espoo","Haukilahti","","Pesulat"
"13975","Sol Pesulapalvelut","Viaporintori","02600","Espoo","Etelä-Leppävaara","","Pesulat"
"13976","Sol Pesulapalvelut","Lähderannantie 22","02720","Espoo","Lähderanta","","Pesulat"
"13977","Sol Pesulapalvelut","Tapiontori 1","02100","Espoo","Tapiola","","Pesulat"
"13980","Sol Pesulapalvelut","Porvoonkatu 3","00510","Helsinki","Harju","","Pesulat"
"13981","Sol Pesulapalvelut","Kauppalantie 26","00320","Helsinki","Etelä-Haaga","","Pesulat"
"13982","Sol Pesulapalvelut","Siltasaarenkatu 18","00530","Helsinki","Siltasaari","","Pesulat"
"13983","Sol Pesulapalvelut","Kauppakartanonkatu 3","00930","Helsinki","Itäkeskus","","Pesulat"
"13984","Sol Pesulapalvelut","Aleksanterinkatu 52","00100","Helsinki","Kluuvi","","Pesulat"
"13985","Sol Pesulapalvelut","Ostostie 4","00940","Helsinki","Kontula","","Pesulat"
"13986","Sol Pesulapalvelut","Mariankatu 10","00170","Helsinki","Kruununhaka","","Pesulat"
"13987","Sol Pesulapalvelut","Lauttasaarentie 18","00200","Helsinki","Lauttasaari","","Pesulat"
"13988","Sol Pesulapalvelut","Ala-Malmin tori 4","00700","Helsinki","Ala-Malmi","","Pesulat"
"13989","Sol Pesulapalvelut","Laajalahdentie 18","00330","Helsinki","Vanha Munkkiniemi","","Pesulat"
"13990","Sol Pesulapalvelut","Raumantie 1","00350","Helsinki","Munkkivuori","","Pesulat"
"13991","Sol Pesulapalvelut","Siltavoudintie 4","00640","Helsinki","Patola","","Pesulat"
"13992","Sol Pesulapalvelut","Tynnyrintekijänkatu 2","00580","Helsinki","Sörnäinen","","Pesulat"
"13993","Sol Pesulapalvelut","Nordenskiöldinkatu 3","00250","Helsinki","Taka-Töölö","","Pesulat"
"13994","Sol Pesulapalvelut","Runeberginkatu 41","00100","Helsinki","Etu-Töölö","","Pesulat"
"13995","Sol Pesulapalvelut","Kapteeninkatu 7","00140","Helsinki","Ullanlinna","","Pesulat"
"13996","Sol Pesulapalvelut","Kasarmikatu 6","00140","Helsinki","Ullanlinna","","Pesulat"
"13997","Sol Pesulapalvelut","Kaivokatu 8","00100","Helsinki","Kluuvi","","Pesulat"
"13998","Sol Pesulapalvelut","Eteläinen Makasiinikatu 5","00130","Helsinki","Kaartinkaupunki","","Pesulat"
"13999","Sol Pesulapalvelut","Kantelettarentie 1","00420","Helsinki","Kannelmäki","","Pesulat"
"14000","Sol Pesulapalvelut","Urho Kekkosen katu 3-5","00100","Helsinki","Kamppi","","Pesulat"
"14001","Sol Pesulapalvelut","Urho Kekkosen katu 7","00100","Helsinki","Kamppi","","Pesulat"
"14002","Sol Pesulapalvelut","Ajomiehentie 1","00390","Helsinki","Konala","","Pesulat"
"14003","Sol Pesulapalvelut","Yliskyläntie 3","00840","Helsinki","Yliskylä","","Pesulat"
"14004","Sol Pesulapalvelut","Vuotie 45","00980","Helsinki","Keski-Vuosaari","","Pesulat"
"14005","Sol Pesulapalvelut","Itäkatu 4","00930","Helsinki","Itäkeskus","","Pesulat"
"14006","Sol Pesulapalvelut","Perustie 19","00330","Helsinki","Vanha Munkkiniemi","","Pesulat"
"14007","Sol Pesulapalvelut","Rapparintie 6","00660","Helsinki","Länsi-Pakila","","Pesulat"
"14013","Sol Pesulapalvelut","Kauniaistentie 7","02700","Kauniainen"," ","","Pesulat"
"14048","Sol Pesulapalvelut","Vantaanportinkatu 3","01510","Vantaa","Pakkala","","Pesulat"
"14049","Sol Pesulapalvelut","Iskoskuja 3 B 66","01600","Vantaa","Myyrmäki","","Pesulat"
"14050","Sol Pesulapalvelut","Orvokkitie 2","01300","Vantaa","Tikkurila","","Pesulat"
"14051","Sol Pesulapalvelut","Talvikkitie 30","01300","Vantaa","Viertola","","Pesulat"
"14054","Sonera Kauppa","Leppävaarankatu 3-9","02600","Espoo","Etelä-Leppävaara","","Matkapuhelimet"
